;Modele;Description;Prix
0;ASUS TUF GAMING F15-TUF566LU-HN145T;"Gamer, 15,6"", Core i7-10870H, GTX 1660 Ti , RAM 16 Go, SSD 512 Go, Windows 10, 2,30 kg";1529€90
1;ASUS ROG STRIX G15 G512LV-HN234T;"Gamer, 15,6"", Core i7-10870H, RTX 2060, RAM 16 Go, SSD 512 Go, Windows 10, 2,39 kg";1599€95
2;ACER Predator Helios 300 PH317-54-796D;"Gamer, 17,3"", Core i7-10750H, RTX 2060, RAM 16 Go, SSD 1 To, Windows 10, 2,93 kg";1699€94
3;ASUS TUF GAMING F15-TUF566LU-HN029T;"Gamer, 15,6"", Core i7-10750H, GTX 1660 Ti , RAM 16 Go, SSD 1 To, Windows 10, 2,30 kg";1579€94
4;ASUS F17-TUF766LI-HX188T;"Gamer, 17"", Core i5-10300H, GTX 1650 Ti, RAM 8 Go, SSD 512 Go, Windows 10, 2,60 kg";1099€94
5;ASUS A15 TUF 506II-AL024T;"Gamer, 15,6"", Ryzen 5-4600H, GTX 1650 Ti, RAM 8 Go, SSD 512 Go, Windows 10, 2,30 kg";1099€94
6;ASUS A17 TUF766II-H7246;"Gamer, 17"", Ryzen 5-4600H, GTX 1650 Ti, RAM 8 Go, SSD 512 Go, Sans OS, 2,60 kg";1099€94
7;ACER Nitro 5 5 AN515-55-75VM;"Gamer, 15,6"", Core i7-10750H, GTX 1650, RAM 8 Go, SSD 512 Go, Windows 10, 2,30 kg";1049€95
8;ASUS ROG STRIX SCAR 17 G732LWS-HG013T;"Gamer, 17"", Core i7-10875H, RTX 2070 Super, RAM 16 Go, SSD 1 To, Windows 10, 2,90 kg";2299€94
9;ASUS A17 TUF766II-H7143T;"Gamer, 17"", Ryzen 5-4600H, GTX 1650 Ti, RAM 8 Go, SSD 512 Go, Windows 10, 2,60 kg";1149€95
10;ACER Nitro 5 AN517-52-748X;"Gamer, 17"", Core i7-10750H, GTX 1660 Ti, RAM 16 Go, SSD 512 Go, Windows 10, 2,30 kg";1499€95
11;ASUS F15-TUF566LI-HN080T;"Gamer, 15,6"", Core i5-10300H, GTX 1650Ti , RAM 16 Go, SSD 512 Go, Windows 10, 2,30 kg";1149€95
12;ASUS ROG Zephyrus G14 GA401II-042T;"Gamer, 14"", Ryzen 7-4800HS, GTX 1650 Ti, RAM 16 Go, SSD 512 Go, Windows 10, 1,60 kg";1499€95
13;ACER Nitro 5 AN515-44-R3SQ;"Gamer, 15,6"", Ryzen 7-4800H, GTX 1650 Ti, RAM 16 Go, SSD 512 Go, Windows 10, 2,30 kg";1249€94
14;ASUS A15-TUF566IU-HN326T;"Gamer, 15,6"", Ryzen 5-4600H, GTX 1660 Ti , RAM 16 Go, SSD 512 Go, Windows 10, 2,30 kg";1299€95
15;ASUS Vivobook FX571GT-AL717T;"Gamer, 15,6"", Core i5-9300H, GTX 1650, RAM 8 Go, Intel Optane 32 Go + SSD 512 Go, Windows 10, 2,14 kg";999€95
16;ACER Predator Helios 300 PH315-53-72AB;"Gamer, 15,6"", Core i7-10750H, RTX 2060, RAM 16 Go, SSD 512 Go, Windows 10, 2,3 kg";1549€94
17;ASUS ROG STRIX SCAR G17 G733QS-HG015T;"Gamer, 17"", Ryzen 9 5900HX, RTX 3080, RAM 32 Go, SSD 1 To, Windows 10, 2,70 kg";4099€94
18;ASUS TUF 505GT-HN136;"Gamer, 15,6"", Core i5-9300H, GTX 1650, RAM 16 Go, SSD 512 Go, Sans OS, 2,20 kg";1049€95
19;ACER Predator Helios 700 PH717-72-76W6;"Gamer, 17,3"", Core i7-10875H, RTX 2070 Super, RAM 32 Go, SSD 1 To + HDD 1 To, Windows 10, 4,8 kg";2699€95
20;ASUS A15 TUF566QR-AZ057;"Gamer, 15,6"", Ryzen 7-5800H, RTX 3070 Max-Q, RAM 16 Go, SSD 512 Go, Sans OS, 2,30 kg";1799€95
21;ASUS A17 TUF766IU-H7124T;"Gamer, 17"", Ryzen 7-4800H, GTX 1660 Ti, RAM 16 Go, SSD 512 Go, Windows 10, 2,60 kg";1499€95
